sample_name	biosample	amikacin_call
ERR373983	SAMEA2144583	S
ERR369164	SAMEA2144703	R
ERR374032	SAMEA2144712	S
ERR349286	SAMEA2144732	S
ERR373974	SAMEA2144787	S
ERR373994	SAMEA2144805	S
ERR374029	SAMEA2144932	S
ERR369150	SAMEA2145025	S
ERR373977	SAMEA2145082	S
ERR374002	SAMEA2145083	S
ERR374014	SAMEA2145116	S
ERR374025	SAMEA2145150	S
ERR373981	SAMEA2145164	S
ERR373993	SAMEA2145213	S
ERR373985	SAMEA2145943	S
ERR373984	SAMEA2146169	S
ERR369145	SAMEA2146173	S
ERR374027	SAMEA2146670	S
ERR373950	SAMEA2146751	S
ERR363468	SAMEA2146898	S
ERR349263	SAMEA2146915	S
ERR373973	SAMEA2147154	S
ERR369136	SAMEA2147405	S
ERR369153	SAMEA2147654	S
ERR373976	SAMEA2147770	S
ERR363492	SAMEA2147818	S
ERR373955	SAMEA2148059	S
ERR349282	SAMEA2148192	R
ERR373967	SAMEA2148323	S
ERR363480	SAMEA2148581	S
ERR349274	SAMEA2148616	S
ERR374030	SAMEA2148667	S
ERR369143	SAMEA2148691	S
ERR363494	SAMEA2148863	S
ERR373989	SAMEA2148965	S
ERR363511	SAMEA2149005	S
ERR374009	SAMEA2149033	S
ERR363484	SAMEA2149268	S
ERR373975	SAMEA2149349	S
ERR369141	SAMEA2149411	S
ERR369137	SAMEA2149450	S
ERR373987	SAMEA2149677	S
ERR374004	SAMEA2149858	S
ERR369140	SAMEA2150063	S
ERR363495	SAMEA2150176	S
ERR373999	SAMEA2150209	S
ERR363510	SAMEA2150262	S
ERR373971	SAMEA2150272	S
ERR374012	SAMEA2150369	S
ERR363471	SAMEA2150414	S
ERR349294	SAMEA2150512	S
ERR369147	SAMEA2150636	S
ERR374026	SAMEA2150651	S
ERR369133	SAMEA2150922	S
ERR374019	SAMEA2150987	S
ERR363507	SAMEA2151080	S
ERR373943	SAMEA2151082	S
ERR373990	SAMEA2151402	S
ERR369169	SAMEA2151750	R
ERR374021	SAMEA2152232	S
ERR374023	SAMEA2152244	S
ERR369139	SAMEA2152504	S
ERR373944	SAMEA2152558	S
ERR363485	SAMEA2152657	S
ERR373988	SAMEA2152730	S
ERR349283	SAMEA2152739	S
ERR374011	SAMEA2153012	S
ERR363497	SAMEA2153017	S
ERR374033	SAMEA2153253	S
ERR373948	SAMEA2153482	S
ERR374010	SAMEA2153559	S
ERR374036	SAMEA2153563	S
ERR369134	SAMEA2153565	S
ERR363475	SAMEA2153606	S
ERR374000	SAMEA2153867	S
ERR349275	SAMEA2153896	S
ERR349287	SAMEA2154060	S
ERR373969	SAMEA2154104	S
ERR363465	SAMEA2154147	S
ERR363493	SAMEA2154241	S
ERR373982	SAMEA2154242	R
ERR369152	SAMEA2154288	R
ERR363512	SAMEA2154544	S
ERR373949	SAMEA2154625	R
ERR349277	SAMEA2154643	S
ERR363476	SAMEA2154749	S
ERR349291	SAMEA2154780	S
ERR374034	SAMEA2154836	S
ERR373997	SAMEA2155017	S
ERR349276	SAMEA2155126	S
ERR373964	SAMEA2155144	R
ERR374015	SAMEA2155314	S
ERR374013	SAMEA2155391	S
ERR374001	SAMEA2155457	S
ERR373979	SAMEA2155514	S
ERR349279	SAMEA2156007	S
ERR373991	SAMEA2156037	S
ERR349292	SAMEA2156247	S
ERR363491	SAMEA2156338	S
ERR373986	SAMEA2156366	S
ERR363482	SAMEA2156457	S
ERR373972	SAMEA2156508	S
ERR374008	SAMEA2156525	S
ERR363467	SAMEA2156536	S
ERR363464	SAMEA2156539	S
ERR349269	SAMEA2156659	S
ERR369146	SAMEA2156724	S
ERR369170	SAMEA2156827	R
ERR369155	SAMEA2156862	S
ERR374016	SAMEA2156992	R
ERR373970	SAMEA2157017	S
ERR349289	SAMEA2157101	S
ERR363496	SAMEA2157297	S
ERR363460	SAMEA2157401	S
ERR369167	SAMEA2157651	S
ERR349267	SAMEA2157718	S
ERR373980	SAMEA2157837	S
ERR373954	SAMEA2158058	S
ERR373961	SAMEA2158095	S
ERR374005	SAMEA2158283	S
ERR374020	SAMEA2158677	S
ERR349272	SAMEA2158812	S
