sample_name	geo_loc_name	Host	isolate	LibrarySelection	LibrarySource	isolation_source	serotype	genotype	strain	majority_hosts
SRR24842898	USA: Pennsylvania	Gallus gallus	A/Chicken/Pennsylvania/22-012092-007/2022	RT-PCR	VIRAL RNA	Swab\, Tracheal	H5N1			Gallus gallus
SRR24842899	USA: Pennsylvania	Gallus gallus	A/Chicken/Pennsylvania/22-012092-005/2022	RT-PCR	VIRAL RNA	Swab\, Tracheal	H5N1			Gallus gallus
SRR24842900	USA: Montana	Anas platyrhynchos	A/Duck/Montana/22-012040-007/2022	RT-PCR	VIRAL RNA	Swab\, Oropharyngeal	H5N1			NA
SRR24842901	USA: Pennsylvania	Gallus gallus	A/Chicken/Pennsylvania/22-012092-003/2022	RT-PCR	VIRAL RNA	Swab\, Tracheal	H5N1			Gallus gallus
SRR24842902	USA: Pennsylvania	Gallus gallus	A/Chicken/Pennsylvania/22-012091-001/2022	RT-PCR	VIRAL RNA	Swab\, Oropharyngeal	H5N1			Gallus gallus
SRR24842903	USA: Wyoming	Branta canadensis	A/Canada Goose/Wyoming/22-012062-001/2022	RT-PCR	VIRAL RNA	Swab\, Cloacal	H5N1			NA
SRR24842904	USA: Wyoming	Cathartidae sp.	A/Vulture/Wyoming/22-012060-001/2022	RT-PCR	VIRAL RNA	Swab\, Cloacal	H5N1			NA
SRR24842905	USA: Michigan	Aix sponsa	A/Wood Duck/Michigan/22-012056-009/2022	RT-PCR	VIRAL RNA	Swab Pool\, Cloacal/Tracheal	H5N1			NA
SRR24842906	USA: Michigan	Bubo virginianus	A/Great Horned Owl/Michigan/22-012056-006/2022	RT-PCR	VIRAL RNA	Swab Pool\, Cloacal/Tracheal	H5N1			NA
SRR24842907	USA: Michigan	Larus argentatus	A/Herring Gull/Michigan/22-012056-005/2022	RT-PCR	VIRAL RNA	Swab Pool\, Cloacal/Tracheal	H5N1			NA
SRR24842908	USA: North Dakota	Anser rossii	A/Ross's Goose/North Dakota/22-010663-022/2022	RT-PCR	VIRAL RNA	Swab Pool\, Cloacal/Oropharyngeal	H5N1			NA
SRR24842909	USA: Michigan	Bubo scandiacus	A/Snowy Owl/Michigan/22-012056-004/2022	RT-PCR	VIRAL RNA	Swab Pool\, Cloacal/Tracheal	H5N1			NA
SRR24842910	USA: Michigan	Lophodytes cucullatus	A/Hooded Merganser/Michigan/22-012056-002/2022	RT-PCR	VIRAL RNA	Swab Pool\, Cloacal/Tracheal	H5N1			NA
SRR24842911	USA: Michigan	Haliaeetus leucocephalus	A/Bald Eagle/Michigan/22-012056-001/2022	RT-PCR	VIRAL RNA	Swab Pool\, Cloacal/Tracheal	H5N1			NA
SRR24842912	USA: Nebraska	Haliaeetus leucocephalus	A/Bald Eagle/Nebraska/22-012052-001/2022	RT-PCR	VIRAL RNA	Swab\, Cloacal	H5N1			NA
SRR24842913	USA: Idaho	Anser sp.	A/Duck/Idaho/22-012047-001/2022	RT-PCR	VIRAL RNA	Swab\, Cloacal	H5N1			NA
SRR24842914	USA: Idaho	Anas sp.	A/Duck/Idaho/22-012046-001/2022	RT-PCR	VIRAL RNA	Swab\, Cloacal	H5N1			NA
SRR24842915	USA: Minnesota	Haliaeetus leucocephalus	A/Bald Eagle/Minnesota/22-011695-001/2022	RT-PCR	VIRAL RNA	Swab\, Tracheal	H5N1			NA
SRR24842916	USA: Iowa	Bubo virginianus	A/Great Horned Owl/Iowa/22-011678-001/2022	RT-PCR	VIRAL RNA	Swab Pool\, Cloacal/Oropharyngeal	H5N1			NA
SRR24842917	USA: Wyoming	Cathartidae sp.	A/Vulture/Wyoming/22-011672-001/2022	RT-PCR	VIRAL RNA	Swab\, Tracheal	H5N1			NA
SRR24842918	USA: Wyoming	Branta canadensis	A/Canada Goose/Wyoming/22-011671-001/2022	RT-PCR	VIRAL RNA	Swab Pool\, Cloacal/Tracheal	H5N1			NA
SRR24842919	USA: Michigan	Gallus gallus	A/Chicken/Michigan/22-011627-001/2022	RT-PCR	VIRAL RNA	Swab\, Oropharyngeal	H5N1			Gallus gallus
SRR24842920	USA: New York	Mergus merganser	A/Merganser/New York/22-011589-001/2022	RT-PCR	VIRAL RNA	Swab\, Cloacal	H5N1			NA
SRR24842921	USA: New York	Calidris alba	A/Sanderling/New York/22-011587-001/2022	RT-PCR	VIRAL RNA	Swab\, Oropharyngeal	H5N1			NA
SRR24842922	USA: Minnesota	Bubo virginianus	A/Great Horned Owl/Minnesota/22-011586-004/2022	RT-PCR	VIRAL RNA	Swab\, Cloacal	H5N1			NA
SRR24842923	USA: North Dakota	Anser caerulescens	A/Snow Goose/North Dakota/22-010663-009/2022	RT-PCR	VIRAL RNA	Swab Pool\, Cloacal/Oropharyngeal	H5N1			Anser caerulescens
SRR24842924	USA: Minnesota	Haliaeetus leucocephalus	A/Bald Eagle/Minnesota/22-011586-003/2022	RT-PCR	VIRAL RNA	Swab\, Cloacal	H5N1			NA
SRR24842925	USA: North Dakota	Buteo jamaicensis	A/Red-tailed Hawk/North Dakota/22-011568-002/2022	RT-PCR	VIRAL RNA	Swab Pool\, Cloacal/Oropharyngeal	H5N1			NA
SRR24842926	USA: North Dakota	Buteo jamaicensis	A/Red-tailed Hawk/North Dakota/22-011568-001/2022	RT-PCR	VIRAL RNA	Swab Pool\, Cloacal/Oropharyngeal	H5N1			NA
SRR24842927	USA: North Dakota	Anser caerulescens	A/Snow Goose/North Dakota/22-011566-002/2022	RT-PCR	VIRAL RNA	Swab Pool\, Cloacal/Oropharyngeal	H5N1			Anser caerulescens
SRR24842928	USA: North Dakota	Anser caerulescens	A/Snow Goose/North Dakota/22-011578-011/2022	RT-PCR	VIRAL RNA	Swab Pool\, Cloacal/Oropharyngeal	H5N1			Anser caerulescens
SRR24842929	USA: North Dakota	Anser caerulescens	A/Snow Goose/North Dakota/22-011578-010/2022	RT-PCR	VIRAL RNA	Swab Pool\, Cloacal/Oropharyngeal	H5N1			Anser caerulescens
SRR24842930	USA: North Dakota	Anser rossii	A/Ross's Goose/North Dakota/22-011578-009/2022	RT-PCR	VIRAL RNA	Swab Pool\, Cloacal/Oropharyngeal	H5N1			NA
SRR24842931	USA: North Dakota	Anser caerulescens	A/Snow Goose/North Dakota/22-011578-008/2022	RT-PCR	VIRAL RNA	Swab Pool\, Cloacal/Oropharyngeal	H5N1			Anser caerulescens
SRR24842932	USA: North Dakota	Anser caerulescens	A/Snow Goose/North Dakota/22-011578-007/2022	RT-PCR	VIRAL RNA	Swab Pool\, Cloacal/Oropharyngeal	H5N1			Anser caerulescens
SRR24842933	USA: North Dakota	Anser caerulescens	A/Snow Goose/North Dakota/22-011578-006/2022	RT-PCR	VIRAL RNA	Swab Pool\, Cloacal/Oropharyngeal	H5N1			Anser caerulescens
SRR24842934	USA: North Dakota	Anser caerulescens	A/Snow Goose/North Dakota/22-010663-008/2022	RT-PCR	VIRAL RNA	Swab Pool\, Cloacal/Oropharyngeal	H5N1			Anser caerulescens
