sample_name	Year_of_sampling	Disease_onset_classification	Isolation_tissue	Capsular_serotype	Sequence_type_MLST	Clonal_complex_MLST	BAPS_clade_or_lineage	disease_onset_and_isolation_tissue
ERR1625426	2003	EOD	Blood	Ib	1571	10	1	EOD_Blood
ERR1625427	2003	LOD	Blood	II	2	1	2	LOD_Blood
ERR1625428	2003	LOD	CSF	III	19	19	3	LOD_CSF
ERR1625429	2003	EOD	CSF	III	17	17	6	EOD_CSF
ERR1625431	2003	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1625315	2001	EOD	Blood	III	17	17	6	EOD_Blood
ERR1625432	2003	EOD	CSF	Ia	23	23	4	EOD_CSF
ERR1625433	2003	EOD	Blood	III	19	19	3	EOD_Blood
ERR1625435	2003	EOD	Blood	III	17	17	6	EOD_Blood
ERR1625436	2003	LOD	CSF	III	19	19	3	LOD_CSF
ERR1625438	2003	LOD	Blood	III	17	17	6	LOD_Blood
ERR1625439	2003	EOD	Blood	Ia	4	1	2	EOD_Blood
ERR1625440	2003	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1625441	2003	EOD	Blood	III	19	19	3	EOD_Blood
ERR1625442	2003	EOD	Blood	III	19	19	3	EOD_Blood
ERR1625443	2003	EOD	Blood	Ia	7	10	1	EOD_Blood
ERR1625444	2003	EOD	CSF	III	27	19	3	EOD_CSF
ERR1625445	2003	EOD	Blood	Ia	24	23	4	EOD_Blood
ERR1625447	2003	LOD	CSF	III	19	19	3	LOD_CSF
ERR1625448	2003	EOD	Blood	Ib	8	10	1	EOD_Blood
ERR1625449	2003	EOD	Blood	IV	196	1	2	EOD_Blood
ERR1625450	2003	LOD	Blood	III	17	17	6	LOD_Blood
ERR1625451	2003	EOD	Blood	V	7	10	1	EOD_Blood
ERR1625317	2001	LOD	CSF	III	18	17	6	LOD_CSF
ERR1625452	2003	EOD	Blood	V	1	1	2	EOD_Blood
ERR1625453	2003	EOD	CSF	III	17	17	6	EOD_CSF
ERR1625454	2003	LOD	Blood	III	17	17	6	LOD_Blood
ERR1625455	2003	LOD	CSF	III	17	17	6	LOD_CSF
ERR1625456	2003	EOD	CSF	Ia	23	23	4	EOD_CSF
ERR1625457	2003	EOD	CSF	III	17	17	6	EOD_CSF
ERR1625458	2003	LOD	CSF	III	17	17	6	LOD_CSF
ERR1625459	2003	LOD	CSF	III	17	17	6	LOD_CSF
ERR1625460	2003	LOD	CSF	III	17	17	6	LOD_CSF
ERR1625461	2004	LOD	CSF	III	17	17	6	LOD_CSF
ERR1625318	2001	EOD	Blood	III	19	19	3	EOD_Blood
ERR1625462	2004	EOD	CSF	V	1	1	2	EOD_CSF
ERR1625463	2004	LOD	Blood	III	17	17	6	LOD_Blood
ERR1625464	2004	LOD	Blood	III	17	17	6	LOD_Blood
ERR1625469	2004	EOD	CSF	III	17	17	6	EOD_CSF
ERR1625470	2004	EOD	Blood	III	17	17	6	EOD_Blood
ERR1625471	2004	EOD	Blood	III	17	17	6	EOD_Blood
ERR1625319	2001	LOD	Blood	III	17	17	6	LOD_Blood
ERR1625473	2004	EOD	Blood	III	23	N/D	5	EOD_Blood
ERR1625474	2004	EOD	Blood	III	19	19	3	EOD_Blood
ERR1625475	2004	LOD	Blood	V	327	19	3	LOD_Blood
ERR1625476	2004	LOD	CSF	III	1538	19	3	LOD_CSF
ERR1625477	2004	EOD	Blood	III	19	19	3	EOD_Blood
ERR1625478	2004	EOD	CSF	III	17	17	6	EOD_CSF
ERR1625479	2004	EOD	Blood	III	17	17	6	EOD_Blood
ERR1625480	2004	EOD	CSF	III	1537	17	6	EOD_CSF
ERR1625481	2004	EOD	CSF	Ib	10	10	1	EOD_CSF
ERR1625320	2001	EOD	Blood	IV	196	1	2	EOD_Blood
ERR1625482	2004	LOD	CSF	III	17	17	6	LOD_CSF
ERR1625483	2004	LOD	CSF	Ia	23	23	4	LOD_CSF
ERR1625484	2004	LOD	CSF	Ib	12	10	1	LOD_CSF
ERR1625485	1988	EOD	Blood	IV	196	1	2	EOD_Blood
ERR1625486	1988	LOD	CSF	Ia	7	10	1	LOD_CSF
ERR1625488	1988	EOD	Blood	III	106	19	3	EOD_Blood
ERR1625489	1988	LOD	CSF	Ib	10	10	1	LOD_CSF
ERR1625490	1988	EOD	CSF	III	27	19	3	EOD_CSF
ERR1625491	1988	LOD	CSF	Ia	7	10	1	LOD_CSF
ERR1625321	2001	LOD	Blood	Ia	23	23	4	LOD_Blood
ERR1625304	2001	EOD	Blood	II	28	19	3	EOD_Blood
ERR1625322	2001	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1625323	2001	LOD	Blood	III	997	19	3	LOD_Blood
ERR1625324	2001	EOD	CSF	III	17	17	6	EOD_CSF
ERR1625325	2001	EOD	Blood	Ia	24	23	4	EOD_Blood
ERR1625326	2001	EOD	Blood	III	19	19	3	EOD_Blood
ERR1625327	2001	LOD	Blood	III	17	17	6	LOD_Blood
ERR1625328	2001	LOD	CSF	III	19	19	3	LOD_CSF
ERR1625329	2002	LOD	Blood	III	17	17	6	LOD_Blood
ERR1625330	2002	EOD	CSF	III	17	17	6	EOD_CSF
ERR1625331	2002	LOD	Blood	III	17	17	6	LOD_Blood
ERR1625305	2001	EOD	Blood	V	1	1	2	EOD_Blood
ERR1625333	2002	EOD	Blood	Ib	8	10	1	EOD_Blood
ERR1625334	2002	EOD	Blood	V	1	1	2	EOD_Blood
ERR1625335	2002	LOD	CSF	III	19	19	3	LOD_CSF
ERR1625336	2002	EOD	Blood	II	751	10	1	EOD_Blood
ERR1625337	2002	EOD	CSF	III	17	17	6	EOD_CSF
ERR1625338	2002	LOD	CSF	III	27	19	3	LOD_CSF
ERR1625340	2002	EOD	Blood	III	12	10	1	EOD_Blood
ERR1625341	2002	EOD	Blood	III	17	17	6	EOD_Blood
ERR1625306	2001	EOD	Blood	III	17	17	6	EOD_Blood
ERR1625342	2002	EOD	Blood	III	19	19	3	EOD_Blood
ERR1625343	2002	EOD	Blood	V	10	10	1	EOD_Blood
ERR1625345	2002	EOD	CSF	V	1	1	2	EOD_CSF
ERR1625346	2002	LOD	CSF	III	17	17	6	LOD_CSF
ERR1625347	2002	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1625348	2002	LOD	CSF	III	17	17	6	LOD_CSF
