sample_name	Year_of_sampling	Disease_onset_classification	Isolation_tissue	Capsular_serotype	Sequence_type_MLST	Clonal_complex_MLST	BAPS_clade_or_lineage	disease_onset_and_isolation_tissue
ERR1659743	2014	LOD	Blood	III	17	17	6	LOD_Blood
ERR1659744	2014	LOD	Blood	III	17	17	6	LOD_Blood
ERR1659745	2014	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1659746	2014	LOD	Blood	III	17	17	6	LOD_Blood
ERR1659747	2014	EOD	Blood	IV	196	1	2	EOD_Blood
ERR1659748	2014	EOD	Blood	III	17	17	6	EOD_Blood
ERR1659686	2013	EOD	Blood	Ia	498	23	4	EOD_Blood
ERR1659749	2014	EOD	Blood	III	NT	19	3	EOD_Blood
ERR1659750	2014	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1659751	2014	EOD	Blood	II	8	10	1	EOD_Blood
ERR1659752	2014	LOD	Blood	III	17	17	6	LOD_Blood
ERR1659753	2014	EOD	Blood	III	17	17	6	EOD_Blood
ERR1659754	2014	EOD	Blood	Ib	1	1	2	EOD_Blood
ERR1659755	2014	EOD	CSF	V	1	1	2	EOD_CSF
ERR1659756	2014	LOD	Blood	VI	1	1	2	LOD_Blood
ERR1659757	2014	EOD	Blood	V	1	1	2	EOD_Blood
ERR1659758	2014	LOD	CSF	III	17	17	6	LOD_CSF
ERR1659687	2013	LOD	Blood	III	17	17	6	LOD_Blood
ERR1659759	2014	EOD	Blood	II	19	19	3	EOD_Blood
ERR1659760	2014	EOD	Blood	III	17	17	6	EOD_Blood
ERR1659761	2014	LOD	CSF	III	17	17	6	LOD_CSF
ERR1659762	2014	EOD	Blood	III	17	17	6	EOD_Blood
ERR1659763	2014	LOD	CSF	III	17	17	6	LOD_CSF
ERR1659764	2014	EOD	Blood	III	17	17	6	EOD_Blood
ERR1659765	2014	LOD	Blood	III	17	17	6	LOD_Blood
ERR1659766	2014	LOD	CSF	III	19	19	3	LOD_CSF
ERR1659767	2014	EOD	CSF	III	17	17	6	EOD_CSF
ERR1659688	2013	EOD	Blood	III	17	17	6	EOD_Blood
ERR1659769	2015	LOD	Blood	Ia	24	23	4	LOD_Blood
ERR1659770	2015	EOD	CSF	Ia	23	23	4	EOD_CSF
ERR1659771	2015	EOD	Blood	III	17	17	6	EOD_Blood
ERR1659772	2015	LOD	Blood	III	17	17	6	LOD_Blood
ERR1659773	2015	LOD	Blood	III	27	19	3	LOD_Blood
ERR1659774	2015	EOD	Blood	III	17	17	6	EOD_Blood
ERR1659775	2014	EOD	Blood	III	17	17	6	EOD_Blood
ERR1659776	2014	EOD	CSF	III	27	19	3	EOD_CSF
ERR1659777	2014	EOD	Blood	III	17	17	6	EOD_Blood
ERR1659778	2014	LOD	Blood	III	17	17	6	LOD_Blood
ERR1672372	2004	EOD	Blood	Ia	144	23	4	EOD_Blood
ERR1672381	2004	EOD	Blood	III	19	19	3	EOD_Blood
ERR1672471	2006	LOD	CSF	III	19	19	3	LOD_CSF
ERR1672472	2006	LOD	CSF	III	17	17	6	LOD_CSF
ERR1672473	2006	LOD	Blood	III	17	17	6	LOD_Blood
ERR1672474	2006	EOD	Blood	Ib	12	10	1	EOD_Blood
ERR1672475	2006	EOD	Blood	V	1	1	2	EOD_Blood
ERR1672477	2006	EOD	Blood	III	19	19	3	EOD_Blood
ERR1672478	2006	LOD	CSF	III	17	17	6	LOD_CSF
ERR1672479	2006	EOD	Blood	III	17	17	6	EOD_Blood
ERR1672480	2006	LOD	Blood	IV	2	1	2	LOD_Blood
ERR1672382	2004	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1672481	2006	EOD	Blood	IV	2	1	2	EOD_Blood
ERR1672482	2006	EOD	Blood	Ib	8	10	1	EOD_Blood
ERR1672483	2006	EOD	Blood	II	2	1	2	EOD_Blood
ERR1672484	2006	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1672485	2006	LOD	CSF	III	1544	19	3	LOD_CSF
ERR1672486	2006	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1672487	2006	LOD	CSF	III	17	17	6	LOD_CSF
ERR1672488	2006	EOD	Blood	V	1	1	2	EOD_Blood
ERR1672489	2006	LOD	Blood	III	17	17	6	LOD_Blood
ERR1672490	2006	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1672383	2004	LOD	Blood	III	17	17	6	LOD_Blood
ERR1672491	2006	EOD	Blood	III	17	17	6	EOD_Blood
ERR1672492	2006	EOD	Blood	III	17	17	6	EOD_Blood
ERR1672493	2006	EOD	Blood	III	17	17	6	EOD_Blood
ERR1672494	2006	EOD	CSF	III	106	19	3	EOD_CSF
ERR1672495	2006	EOD	Blood	Ia	144	23	4	EOD_Blood
ERR1672496	2007	LOD	CSF	III	1592	17	6	LOD_CSF
ERR1672498	2007	LOD	Blood	Ia	23	23	4	LOD_Blood
ERR1672499	2007	LOD	Blood	III	17	17	6	LOD_Blood
ERR1672384	2004	LOD	Blood	III	1581	17	6	LOD_Blood
ERR1672501	2007	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1672502	2007	EOD	Blood	Ia	24	23	4	EOD_Blood
ERR1672503	2007	LOD	CSF	III	19	19	3	LOD_CSF
ERR1672505	2007	LOD	Blood	Ia	23	23	4	LOD_Blood
ERR1672506	2007	LOD	CSF	III	17	17	6	LOD_CSF
ERR1672507	2007	EOD	Blood	III	17	17	6	EOD_Blood
ERR1672508	2007	EOD	Blood	III	19	19	3	EOD_Blood
ERR1672509	2007	LOD	CSF	III	17	17	6	LOD_CSF
ERR1672510	2007	LOD	Blood	III	17	17	6	LOD_Blood
ERR1672385	2004	EOD	Blood	III	19	19	3	EOD_Blood
ERR1672511	2007	EOD	Blood	III	19	19	3	EOD_Blood
ERR1672512	2007	EOD	Blood	II	19	19	3	EOD_Blood
ERR1672513	2007	LOD	CSF	Ia	23	23	4	LOD_CSF
ERR1672514	2007	EOD	Blood	VI	1	1	2	EOD_Blood
ERR1672515	2007	EOD	CSF	III	17	17	6	EOD_CSF
ERR1672516	2007	LOD	CSF	Ia	24	23	4	LOD_CSF
ERR1672517	2007	EOD	Blood	III	17	17	6	EOD_Blood
ERR1672518	2007	EOD	Blood	III	17	17	6	EOD_Blood
ERR1672519	2007	EOD	Blood	III	19	19	3	EOD_Blood
ERR1672520	2007	EOD	Blood	Ia	144	23	4	EOD_Blood
ERR1672386	2004	EOD	Blood	Ib	12	10	1	EOD_Blood
ERR1672521	2007	LOD	Blood	Ia	24	23	4	LOD_Blood
ERR1672522	2007	LOD	CSF	III	17	17	6	LOD_CSF
ERR1672523	2007	EOD	CSF	III	17	17	6	EOD_CSF
ERR1672524	2007	EOD	Blood	III	515	17	6	EOD_Blood
ERR1672525	2007	EOD	Blood	III	17	17	6	EOD_Blood
ERR1672526	2007	EOD	Blood	III	17	17	6	EOD_Blood
ERR1672527	2007	LOD	CSF	III	17	17	6	LOD_CSF
ERR1672528	2007	EOD	CSF	III	17	17	6	EOD_CSF
ERR1672529	2007	EOD	Blood	III	19	19	3	EOD_Blood
ERR1672387	2004	LOD	CSF	III	17	17	6	LOD_CSF
ERR1672531	2007	LOD	Blood	III	19	19	3	LOD_Blood
ERR1672532	2007	EOD	Blood	III	17	17	6	EOD_Blood
ERR1672533	2007	EOD	CSF	III	17	17	6	EOD_CSF
ERR1672535	2007	EOD	Blood	III	19	19	3	EOD_Blood
ERR1672536	2007	EOD	Blood	IV	645	1	2	EOD_Blood
ERR1672537	2007	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1672538	2007	LOD	Blood	III	19	19	3	LOD_Blood
ERR1672539	2007	LOD	Blood	Ia	4	1	2	LOD_Blood
ERR1672540	2007	EOD	Blood	III	17	17	6	EOD_Blood
ERR1672388	2004	EOD	Blood	III	17	17	6	EOD_Blood
ERR1672541	2007	EOD	CSF	III	23	N/D	5	EOD_CSF
ERR1672543	2007	LOD	Blood	III	1608	19	3	LOD_Blood
ERR1672544	2007	LOD	CSF	III	17	17	6	LOD_CSF
ERR1672545	2007	LOD	Blood	III	17	17	6	LOD_Blood
ERR1672546	2007	EOD	Blood	III	19	19	3	EOD_Blood
ERR1672547	2007	EOD	CSF	III	17	17	6	EOD_CSF
ERR1672548	2007	EOD	Blood	III	17	17	6	EOD_Blood
ERR1672549	2007	EOD	CSF	III	17	17	6	EOD_CSF
ERR1672550	2007	EOD	Blood	V	1575	19	3	EOD_Blood
ERR1672389	2004	EOD	Blood	II	2	1	2	EOD_Blood
ERR1672551	2007	LOD	CSF	III	17	17	6	LOD_CSF
ERR1672552	2001	LOD	Blood	III	17	17	6	LOD_Blood
ERR1672553	2012	LOD	Blood	Ia	23	23	4	LOD_Blood
ERR1672554	2013	LOD	Blood	III	17	17	6	LOD_Blood
ERR1672555	2016	EOD	Blood	III	1564	17	6	EOD_Blood
ERR1672556	2016	LOD	Blood	Ia	23	23	4	LOD_Blood
ERR1672557	2016	EOD	Blood	III	17	17	6	EOD_Blood
ERR1672558	2016	EOD	Blood	IV	196	1	2	EOD_Blood
ERR1672559	2007	EOD	CSF	Ia	24	23	4	EOD_CSF
ERR1672560	2007	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1672390	2004	LOD	CSF	III	17	17	6	LOD_CSF
ERR1672373	2004	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1672391	2004	EOD	CSF	III	27	19	3	EOD_CSF
ERR1672392	2004	LOD	CSF	III	17	17	6	LOD_CSF
ERR1672393	2004	LOD	CSF	III	17	17	6	LOD_CSF
ERR1672394	2004	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1672395	2004	EOD	CSF	III	1576	17	6	EOD_CSF
ERR1672396	2004	EOD	Blood	III	17	17	6	EOD_Blood
ERR1672398	2005	EOD	Blood	II	12	10	1	EOD_Blood
ERR1672399	2005	EOD	Blood	III	17	17	6	EOD_Blood
ERR1672400	2005	EOD	CSF	III	19	19	3	EOD_CSF
ERR1672374	2004	EOD	CSF	III	17	17	6	EOD_CSF
ERR1672401	2005	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1672402	2005	EOD	CSF	Ia	23	23	4	EOD_CSF
ERR1672404	2005	EOD	Blood	V	1	1	2	EOD_Blood
ERR1672405	2005	EOD	Blood	III	27	19	3	EOD_Blood
ERR1672406	2005	EOD	CSF	III	1593	17	6	EOD_CSF
ERR1672407	2005	LOD	CSF	Ib	10	10	1	LOD_CSF
ERR1672408	2005	LOD	CSF	III	17	17	6	LOD_CSF
ERR1672409	2005	EOD	Blood	III	27	19	3	EOD_Blood
ERR1672410	2005	EOD	CSF	III	19	19	3	EOD_CSF
ERR1672375	2004	EOD	Blood	III	17	17	6	EOD_Blood
ERR1672411	2005	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1672412	2005	LOD	CSF	Ia	23	23	4	LOD_CSF
ERR1672413	2005	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1672415	2005	EOD	Blood	III	19	19	3	EOD_Blood
ERR1672416	2005	LOD	Blood	III	17	17	6	LOD_Blood
ERR1672417	2005	EOD	Blood	III	19	19	3	EOD_Blood
ERR1672418	2005	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1672419	2005	EOD	Blood	III	17	17	6	EOD_Blood
ERR1672420	2005	EOD	Blood	II	19	19	3	EOD_Blood
ERR1672376	2004	EOD	Blood	II	19	19	3	EOD_Blood
ERR1672421	2005	EOD	Blood	III	19	19	3	EOD_Blood
ERR1672422	2005	LOD	CSF	III	182	19	3	LOD_CSF
ERR1672423	2005	LOD	CSF	Ia	1599	23	4	LOD_CSF
ERR1672424	2005	EOD	CSF	III	1545	17	6	EOD_CSF
ERR1672425	2005	EOD	CSF	III	17	17	6	EOD_CSF
ERR1672426	2005	LOD	CSF	III	17	17	6	LOD_CSF
ERR1672427	2005	EOD	Blood	III	17	17	6	EOD_Blood
ERR1672428	2005	EOD	Blood	III	17	17	6	EOD_Blood
ERR1672429	2005	LOD	CSF	III	17	17	6	LOD_CSF
ERR1672430	2005	LOD	CSF	III	17	17	6	LOD_CSF
ERR1672377	2004	EOD	CSF	Ib	8	10	1	EOD_CSF
ERR1672431	2005	EOD	Blood	III	19	19	3	EOD_Blood
ERR1672432	2005	EOD	CSF	III	17	17	6	EOD_CSF
ERR1672433	2005	LOD	Blood	III	17	17	6	LOD_Blood
ERR1672434	2005	LOD	CSF	III	17	17	6	LOD_CSF
ERR1672435	2005	LOD	CSF	III	17	17	6	LOD_CSF
ERR1672436	2005	EOD	Blood	Ia	24	23	4	EOD_Blood
ERR1672437	2005	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1672438	2005	LOD	Blood	III	17	17	6	LOD_Blood
ERR1672439	2005	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1672440	2005	EOD	CSF	III	19	19	3	EOD_CSF
ERR1672378	2004	EOD	CSF	II	12	10	1	EOD_CSF
ERR1672441	2005	EOD	Blood	III	17	17	6	EOD_Blood
ERR1672442	2005	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1672443	2005	LOD	CSF	III	17	17	6	LOD_CSF
ERR1672444	2005	LOD	CSF	III	17	17	6	LOD_CSF
ERR1672446	2006	LOD	Blood	IX	130	130	5	LOD_Blood
ERR1672447	2006	EOD	Blood	Ia	24	23	4	EOD_Blood
ERR1672448	2006	EOD	Blood	III	17	17	6	EOD_Blood
ERR1672449	2006	LOD	CSF	III	17	17	6	LOD_CSF
ERR1672450	2006	EOD	CSF	Ia	23	23	4	EOD_CSF
ERR1672379	2004	EOD	Blood	II	10	10	1	EOD_Blood
ERR1672451	2006	EOD	CSF	III	19	19	3	EOD_CSF
ERR1672452	2006	LOD	CSF	III	1498	17	6	LOD_CSF
ERR1672453	2006	EOD	Blood	III	17	17	6	EOD_Blood
ERR1672454	2006	EOD	CSF	III	27	19	3	EOD_CSF
ERR1672455	2006	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1672456	2006	EOD	Blood	Ia	24	23	4	EOD_Blood
ERR1672457	2006	LOD	Blood	II	12	10	1	LOD_Blood
ERR1672458	2006	EOD	Blood	III	17	17	6	EOD_Blood
ERR1672459	2006	LOD	CSF	Ia	1546	23	4	LOD_CSF
ERR1672460	1988	LOD	CSF	Ia	1609	23	4	LOD_CSF
ERR1672380	2004	EOD	CSF	III	19	19	3	EOD_CSF
ERR1672461	1988	LOD	CSF	III	17	17	6	LOD_CSF
ERR1672462	1988	EOD	Blood	IV	196	1	2	EOD_Blood
ERR1672463	1988	EOD	Blood	II	2	1	2	EOD_Blood
ERR1672465	2006	LOD	CSF	V	19	19	3	LOD_CSF
ERR1672466	2006	LOD	CSF	III	17	17	6	LOD_CSF
ERR1672467	2006	EOD	Blood	Ib	12	10	1	EOD_Blood
ERR1672468	2006	EOD	Blood	III	17	17	6	EOD_Blood
ERR1672469	2006	LOD	Blood	III	17	17	6	LOD_Blood
ERR1672470	2006	EOD	CSF	III	1565	17	6	EOD_CSF
ERR1672561	2007	EOD	Blood	III	19	19	3	EOD_Blood
ERR1672570	2008	LOD	CSF	III	17	17	6	LOD_CSF
ERR1672660	2009	LOD	Blood	III	17	17	6	LOD_Blood
ERR1672661	2009	LOD	Blood	III	17	17	6	LOD_Blood
ERR1672662	2009	EOD	Blood	III	148	17	6	EOD_Blood
ERR1672664	2009	EOD	Blood	III	17	17	6	EOD_Blood
ERR1672665	2009	EOD	Blood	III	17	17	6	EOD_Blood
ERR1672666	2009	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1672667	2009	EOD	Blood	V	1	1	2	EOD_Blood
ERR1672668	2009	EOD	CSF	III	17	17	6	EOD_CSF
ERR1672571	2008	EOD	CSF	III	17	17	6	EOD_CSF
ERR1672670	2009	LOD	Blood	III	17	17	6	LOD_Blood
ERR1672671	2009	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1672672	2009	EOD	Blood	III	17	17	6	EOD_Blood
ERR1672673	2009	LOD	Blood	III	1610	17	6	LOD_Blood
ERR1672675	2009	EOD	Blood	III	280	N/D	5	EOD_Blood
ERR1672676	2009	EOD	CSF	III	17	17	6	EOD_CSF
ERR1672677	2009	EOD	Blood	V	1	1	2	EOD_Blood
ERR1672678	2009	EOD	Blood	III	27	19	3	EOD_Blood
ERR1672679	2009	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1672572	2008	LOD	CSF	III	17	17	6	LOD_CSF
ERR1672680	2009	EOD	Blood	III	17	17	6	EOD_Blood
ERR1672681	2009	EOD	Blood	III	17	17	6	EOD_Blood
ERR1672682	2009	LOD	Blood	III	17	17	6	LOD_Blood
ERR1672683	2009	EOD	Blood	II	28	19	3	EOD_Blood
ERR1672684	2009	EOD	Blood	III	17	17	6	EOD_Blood
ERR1672685	2009	EOD	Blood	III	17	17	6	EOD_Blood
ERR1672686	2009	EOD	Blood	III	19	19	3	EOD_Blood
ERR1672688	2009	LOD	Blood	III	17	17	6	LOD_Blood
ERR1672689	2009	LOD	Blood	Ia	23	23	4	LOD_Blood
ERR1672573	2008	LOD	Blood	III	17	17	6	LOD_Blood
ERR1672690	2009	LOD	Blood	V	1	1	2	LOD_Blood
ERR1672691	2010	EOD	Blood	II	12	10	1	EOD_Blood
ERR1672692	2010	EOD	Blood	Ia	1594	23	4	EOD_Blood
ERR1672693	2010	LOD	Blood	III	17	17	6	LOD_Blood
ERR1672694	2010	EOD	Blood	III	17	17	6	EOD_Blood
ERR1672695	2010	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1672696	2010	EOD	CSF	III	19	19	3	EOD_CSF
ERR1672697	2010	LOD	Blood	V	7	10	1	LOD_Blood
ERR1672698	2010	EOD	Blood	III	17	17	6	EOD_Blood
ERR1672699	2010	EOD	CSF	Ia	4	1	2	EOD_CSF
ERR1672574	2008	LOD	Blood	III	17	17	6	LOD_Blood
ERR1672700	2010	LOD	CSF	Ia	23	23	4	LOD_CSF
ERR1672701	2010	EOD	CSF	III	19	19	3	EOD_CSF
ERR1672702	2010	LOD	CSF	III	17	17	6	LOD_CSF
ERR1672703	2010	LOD	Blood	III	17	17	6	LOD_Blood
ERR1672704	2010	LOD	Blood	III	17	17	6	LOD_Blood
ERR1672705	2010	EOD	Blood	III	19	19	3	EOD_Blood
ERR1672706	2010	EOD	Blood	Ib	1595	10	1	EOD_Blood
ERR1672708	2010	EOD	Blood	III	17	17	6	EOD_Blood
ERR1672575	2008	LOD	CSF	III	1544	19	3	LOD_CSF
ERR1672711	2010	LOD	Blood	V	1	1	2	LOD_Blood
ERR1672712	2010	LOD	CSF	III	19	19	3	LOD_CSF
ERR1672713	2010	EOD	Blood	II	2	1	2	EOD_Blood
ERR1672714	2010	LOD	Blood	Ia	498	23	4	LOD_Blood
ERR1672715	2010	EOD	Blood	III	1299	17	6	EOD_Blood
ERR1672716	2010	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1672718	2010	LOD	CSF	III	148	17	6	LOD_CSF
ERR1672719	2010	EOD	Blood	III	19	19	3	EOD_Blood
ERR1672720	2010	LOD	Blood	III	1323	19	3	LOD_Blood
ERR1672721	2010	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1672722	2010	LOD	CSF	III	1323	19	3	LOD_CSF
ERR1672723	2010	EOD	CSF	III	17	17	6	EOD_CSF
ERR1672724	2010	LOD	Blood	III	148	17	6	LOD_Blood
ERR1672725	2010	LOD	CSF	III	17	17	6	LOD_CSF
ERR1672728	2010	EOD	Blood	V	110	19	3	EOD_Blood
ERR1672729	2010	EOD	Blood	III	515	17	6	EOD_Blood
ERR1672577	2008	LOD	Blood	III	17	17	6	LOD_Blood
ERR1672730	2010	EOD	Blood	III	17	17	6	EOD_Blood
ERR1672731	2010	EOD	CSF	III	17	17	6	EOD_CSF
ERR1672732	2010	EOD	Blood	V	1	1	2	EOD_Blood
ERR1672733	2010	LOD	Blood	III	1588	17	6	LOD_Blood
ERR1672734	2010	LOD	CSF	III	17	17	6	LOD_CSF
ERR1672735	2010	EOD	CSF	Ia	23	23	4	EOD_CSF
ERR1672736	2010	LOD	CSF	III	17	17	6	LOD_CSF
ERR1672737	2010	LOD	Blood	II	10	10	1	LOD_Blood
ERR1672738	2010	EOD	Blood	II	1582	22	5	EOD_Blood
ERR1672739	2010	LOD	CSF	III	17	17	6	LOD_CSF
ERR1672578	2008	LOD	Blood	III	17	17	6	LOD_Blood
ERR1672740	2010	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1672741	2010	EOD	Blood	III	147	17	6	EOD_Blood
ERR1672742	2016	LOD	CSF	III	182	19	3	LOD_CSF
ERR1672743	2016	LOD	CSF	III	17	17	6	LOD_CSF
ERR1672744	2016	EOD	Blood	IV	196	1	2	EOD_Blood
ERR1672745	2016	LOD	Blood	III	19	19	3	LOD_Blood
ERR1672746	2016	LOD	CSF	III	17	17	6	LOD_CSF
ERR1672747	2016	EOD	Blood	V	26	26	5	EOD_Blood
ERR1672748	2016	LOD	Blood	III	17	17	6	LOD_Blood
ERR1672579	2008	EOD	Blood	III	17	17	6	EOD_Blood
ERR1672562	2008	LOD	Blood	III	17	17	6	LOD_Blood
ERR1672580	2008	LOD	Blood	Ia	24	23	4	LOD_Blood
ERR1672581	2008	LOD	Blood	VII	1	1	2	LOD_Blood
ERR1672582	2008	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1672583	2008	EOD	Blood	Ib	8	10	1	EOD_Blood
ERR1672584	2008	EOD	Blood	III	17	17	6	EOD_Blood
ERR1672585	2008	EOD	Blood	III	17	17	6	EOD_Blood
ERR1672586	2008	EOD	Blood	III	1544	19	3	EOD_Blood
ERR1672587	2008	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1672588	2008	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1672563	2008	EOD	Blood	III	17	17	6	EOD_Blood
ERR1672591	2008	LOD	CSF	III	17	17	6	LOD_CSF
ERR1672592	2008	EOD	Blood	III	19	19	3	EOD_Blood
ERR1672593	2008	LOD	CSF	III	1566	17	6	LOD_CSF
ERR1672594	2008	LOD	Blood	III	17	17	6	LOD_Blood
ERR1672595	2008	EOD	Blood	III	17	17	6	EOD_Blood
ERR1672596	2008	LOD	Blood	III	1498	17	6	LOD_Blood
ERR1672597	2008	EOD	Blood	II	19	19	3	EOD_Blood
ERR1672598	2008	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1672599	2008	LOD	Blood	III	17	17	6	LOD_Blood
ERR1672564	2008	EOD	CSF	III	17	17	6	EOD_CSF
ERR1672600	2008	LOD	Blood	III	17	17	6	LOD_Blood
ERR1672601	2008	EOD	Blood	III	19	19	3	EOD_Blood
ERR1672602	2008	EOD	Blood	III	17	17	6	EOD_Blood
ERR1672604	2008	EOD	Blood	III	17	17	6	EOD_Blood
ERR1672605	2008	EOD	Blood	NT	19	19	3	EOD_Blood
ERR1672606	2008	EOD	Blood	III	27	19	3	EOD_Blood
ERR1672607	2008	LOD	Blood	III	19	19	3	LOD_Blood
ERR1672608	2008	EOD	CSF	III	27	19	3	EOD_CSF
ERR1672609	2008	EOD	CSF	Ia	23	23	4	EOD_CSF
ERR1672565	2008	LOD	CSF	III	17	17	6	LOD_CSF
ERR1672610	2008	EOD	Blood	III	17	17	6	EOD_Blood
ERR1672611	2008	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1672612	2008	EOD	CSF	III	19	19	3	EOD_CSF
ERR1672613	2008	LOD	Blood	Ib	12	10	1	LOD_Blood
ERR1672614	2008	EOD	Blood	II	28	19	3	EOD_Blood
ERR1672615	2008	EOD	Blood	Ia	24	23	4	EOD_Blood
ERR1672616	2008	EOD	Blood	II	19	19	3	EOD_Blood
ERR1672617	2008	EOD	Blood	III	19	19	3	EOD_Blood
ERR1672618	2008	EOD	Blood	III	19	19	3	EOD_Blood
ERR1672619	2008	EOD	Blood	V	167	1	2	EOD_Blood
ERR1672566	2008	LOD	Blood	IV	196	1	2	LOD_Blood
ERR1672620	2009	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1672621	2009	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1672623	2009	EOD	Blood	III	233	19	3	EOD_Blood
ERR1672625	2009	EOD	Blood	III	17	17	6	EOD_Blood
ERR1672626	2009	EOD	CSF	Ia	23	23	4	EOD_CSF
ERR1672627	2009	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1672629	2009	EOD	Blood	III	17	17	6	EOD_Blood
ERR1672567	2008	EOD	Blood	III	19	19	3	EOD_Blood
ERR1672630	2009	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1672632	2009	LOD	CSF	III	148	17	6	LOD_CSF
ERR1672633	2009	EOD	Blood	III	17	17	6	EOD_Blood
ERR1672634	2009	LOD	Blood	III	17	17	6	LOD_Blood
ERR1672635	2009	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1672636	2009	EOD	Blood	V	19	19	3	EOD_Blood
ERR1672637	2009	EOD	Blood	III	17	17	6	EOD_Blood
ERR1672639	2009	EOD	Blood	III	19	19	3	EOD_Blood
ERR1672568	2008	EOD	Blood	V	110	19	3	EOD_Blood
ERR1672640	2009	EOD	Blood	Ia	24	23	4	EOD_Blood
ERR1672641	2009	EOD	Blood	III	19	19	3	EOD_Blood
ERR1672642	2009	EOD	Blood	III	1550	19	3	EOD_Blood
ERR1672643	2009	EOD	Blood	II	28	19	3	EOD_Blood
ERR1672644	2009	EOD	Blood	III	19	19	3	EOD_Blood
ERR1672645	2009	EOD	Blood	Ia	7	10	1	EOD_Blood
ERR1672646	2009	LOD	Blood	III	17	17	6	LOD_Blood
ERR1672647	2016	EOD	Blood	III	1498	17	6	EOD_Blood
ERR1672648	2016	EOD	Blood	III	17	17	6	EOD_Blood
ERR1672569	2008	EOD	Blood	III	17	17	6	EOD_Blood
ERR1672650	2016	LOD	CSF	III	17	17	6	LOD_CSF
ERR1672651	2016	EOD	Blood	III	19	19	3	EOD_Blood
ERR1672652	2016	EOD	Blood	IV	196	1	2	EOD_Blood
ERR1672653	2016	LOD	CSF	III	17	17	6	LOD_CSF
ERR1672654	2009	EOD	Blood	Ib	12	10	1	EOD_Blood
ERR1672655	2009	EOD	Blood	Ia	144	23	4	EOD_Blood
ERR1672656	2009	EOD	Blood	III	17	17	6	EOD_Blood
ERR1672657	2009	LOD	Blood	III	17	17	6	LOD_Blood
ERR1672659	2009	EOD	CSF	III	17	17	6	EOD_CSF
ERR1672749	2010	EOD	CSF	III	1596	17	6	EOD_CSF
ERR1672758	2010	LOD	Blood	III	17	17	6	LOD_Blood
ERR1672848	2012	EOD	Blood	III	17	17	6	EOD_Blood
ERR1672849	2012	LOD	Blood	Ia	23	23	4	LOD_Blood
ERR1672850	2012	LOD	CSF	Ia	23	23	4	LOD_CSF
ERR1672852	2012	LOD	Blood	III	19	19	3	LOD_Blood
ERR1672853	2012	EOD	Blood	II	2	1	2	EOD_Blood
ERR1672854	2012	LOD	Blood	III	1567	17	6	LOD_Blood
ERR1672855	2012	LOD	Blood	Ia	23	23	4	LOD_Blood
ERR1672856	2012	EOD	Blood	III	1324	19	3	EOD_Blood
ERR1672857	2012	LOD	Blood	Ia	23	23	4	LOD_Blood
ERR1672759	2010	EOD	Blood	II	12	10	1	EOD_Blood
ERR1672859	2012	LOD	Blood	Ia	23	23	4	LOD_Blood
ERR1672860	2012	LOD	CSF	Ia	23	23	4	LOD_CSF
ERR1672862	2012	EOD	CSF	Ia	23	23	4	EOD_CSF
ERR1672863	2012	EOD	Blood	Ia	1577	23	4	EOD_Blood
ERR1672864	2012	LOD	CSF	III	17	17	6	LOD_CSF
ERR1672865	2012	EOD	Blood	Ia	144	23	4	EOD_Blood
ERR1672866	2012	LOD	Blood	Ia	23	23	4	LOD_Blood
