sample_name	assembly_fullid_updated	yhmpu50000	order	species	carbon_class	nitrogen_class	galactose_normalized	fructose_normalized	glycerol_normalized	maltose_normalized	at_25_c	c1_d.glucose	n4_l.lysine	c23_glycerol	n5_cadaverine	c28_d.glucitol	n3_ethylamine	at_30_c	c29_d.mannitol	ethanol__assimilation	d.glucose__fermentation	c39_succinate	c12_a_a.trehalose	c6_d.xylose	c32_d.glucono.1_5.lactone	c2_d.galactose	c10_sucrose	c14_cellobiose	c15_salicin	c11_maltose	c25_ribitol	c40_citrate	c26_xylitol	c35_d.gluconate	c16_arbutin	c3_l.sorbose	at_35_c	c20_melezitose	c13_me_a.d.glucoside	environment_edited	super_domain_entity	super_independent_entity	super_plant	super_embryophyta_plant_type	super_vascular_plant_type	super_seed_producing_plant_type	super_animal	super_angiosperm_plant_type	super_arthropoda_animal_type	super_hexapoda_animal_type	super_insecta_animal_type
SRR16974597	yHDO586_kazachstania_humatica_180604	yHDO586	Saccharomycetales	Grigorovia humatica	NA	NA	NA	NA	NA	NA	Yes	Yes	Yes	No	Yes	Yes	Yes	NA	Yes	NA	NA	No	Yes	Yes	Yes	Yes	No	No	No	Yes	No	No	No	Yes	Yes	Yes	NA	Yes	No	soil	Yes	Yes	No	No	No	No	No	No	No	No	No
SRR16974510	yHAB144_kazachstania_jainica_160519.haplomerger2	yHAB144	Saccharomycetales	Grigorovia jiainica	NA	NA	NA	NA	NA	NA	Yes	Yes	No	No	No	No	No	Yes	No	No	Yes	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	No	Yes	No	No	soil	Yes	Yes	No	No	No	No	No	No	No	No	No
SRR16989217	yHMPu5000035320_candida_auringiensis_190924	35320	Dipodascales	Groenewaldozyma auringiensis	Standard	Standard	0.898076209842352	0.602292982591438	0.266065539014686	0	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	No	Yes	No	Yes	Yes	Yes	Yes	Yes	No	No	alpechín	Yes	Yes	No	No	No	No	No	No	No	No	No
SRR16974482	yHMH443_Groenewaldozyma_sp_nov_plate33_SPADES	yHMH443	Dipodascales	Groenewaldozyma sp.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yellow rot on a Pine tree	Yes	Yes	Yes	Yes	Yes	Yes	No	No	No	No	No
SRR16989228	yHMPu5000035319_Candida_tartarivorans_S177_SPADES	35319	Dipodascales	Groenewaldozyma tartarivorans	Generalist	Standard	1.09080270139509	0.224627320249012	0.744915345214537	1.1253730025468	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	dried lees of wine	Yes	Yes	No	No	No	No	No	No	No	No	No
SRR16974332	yHDO579_hagleromyces_aurorensis_180604	yHDO579	Saccharomycetales	Hagleromyces aurorensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	water tanks (phytotelmata) of B. karatas	Yes	Yes	No	No	No	No	No	No	No	No	No
SRR16974353	yHMPu5000034663_kloeckera_lindneri_170307	34663	Saccharomycodales	Hanseniaspora lindneri	NA	NA	NA	NA	NA	NA	Yes	Yes	Yes	No	Yes	No	Yes	Yes	No	No	Yes	No	No	No	Yes	No	No	Yes	Yes	No	No	No	No	No	Yes	No	No	No	No	soil	Yes	Yes	No	No	No	No	No	No	No	No	No
SRR16988798	yHMPu5000037217_hanseniaspora_mollemarum_210210	37217	Saccharomycodales	Hanseniaspora mollemarum	NA	NA	NA	NA	NA	NA	Yes	Yes	Yes	No	Yes	No	Yes	No	No	NA	Yes	NA	Yes	No	NA	No	No	Yes	NA	No	NA	NA	NA	Yes	NA	No	NA	No	No	Dutch soil	Yes	Yes	No	No	No	No	No	No	No	No	No
SRR16974423	yHMPu5000034958_hanseniaspora_opuntiae_201018.haplomerger2	34958	Saccharomycodales	Hanseniaspora opuntiae	Specialist	Standard	0	0.24122277892604	0	0	Yes	Yes	Yes	NA	Yes	NA	Yes	Yes	NA	NA	Yes	NA	NA	NA	Yes	No	No	Yes	Yes	No	NA	NA	NA	No	Yes	NA	Yes	NA	NA	Opuntia megacantha (cactus)	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	No	No	No
SRR16988876	yHMPu5000035695_hanseniaspora_pseudoguilliermondii_160519.haplomerger2	35695	Saccharomycodales	Hanseniaspora pseudoguilliermondii	Specialist	Standard	0	0.390380925223999	0	0	Yes	Yes	Yes	No	Yes	No	Yes	NA	No	No	Yes	No	No	No	Yes	No	No	Yes	Yes	No	No	No	No	Yes	Yes	No	NA	No	No	orange juice concentrate	Yes	Yes	No	No	No	No	No	No	No	No	No
SRR16988875	yHMPu5000035696_hanseniaspora_singularis_160519.haplomerger2	35696	Saccharomycodales	Hanseniaspora singularis	Specialist	Specialist	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR16974535	yHDO590_kloeckera_taiwanica_180604.haplomerger2	yHDO590	Saccharomycodales	Hanseniaspora taiwanica	NA	NA	NA	NA	NA	NA	Yes	Yes	No	No	No	No	No	No	No	No	Yes	No	No	No	Yes	No	Yes	Yes	Yes	Yes	No	No	No	No	Yes	No	NA	No	No	Fruiting body of mushroom (Russula sp)	Yes	Yes	No	No	No	No	No	No	No	No	No
SRR16974425	yHMPu5000034956_hanseniaspora_uvarum_170307	34956	Saccharomycodales	Hanseniaspora uvarum	NA	NA	NA	NA	NA	NA	Yes	Yes	Yes	No	Yes	No	Yes	Yes	No	No	Yes	No	No	No	Yes	No	No	Yes	Yes	No	No	No	No	Yes	Yes	No	No	No	No	muscatel grape	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	No	No	No
SRR16974426	yHMPu5000034955_hanseniaspora_valbyensis_201018.haplomerger2	34955	Saccharomycodales	Hanseniaspora valbyensis	Standard	Standard	0	0.370360257092205	0	0	Yes	Yes	Yes	No	Yes	No	Yes	Yes	No	No	Yes	No	No	No	Yes	No	No	Yes	Yes	No	No	No	No	No	Yes	No	No	No	No	soil	Yes	Yes	No	No	No	No	No	No	No	No	No
SRR16988912	yHMPu5000040918_candida_insectamans_201018	40918	Serinales	Hemisphaericaspora insectamans	NA	NA	NA	NA	NA	NA	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	No	Yes	Yes	Yes	Yes	Yes	No	No	Yes	No	Yes	Yes	Yes	frass of buprestid larvae in Acacia nilotica	Yes	Yes	No	No	No	No	Yes	No	Yes	Yes	Yes
SRR16974715	yHMPu5000034756_hemisphaericaspora_nanyangensis_170713	34756	Serinales	Hemisphaericaspora nanyangensis	Standard	Standard	0	0.796201112925828	0	0.668624302078972	Yes	Yes	Yes	Yes	No	No	Yes	Yes	Yes	No	No	No	Yes	Yes	No	No	Yes	Yes	Yes	Yes	Yes	No	No	Yes	No	No	Yes	Yes	Yes	Insect frass	Yes	Yes	No	No	No	No	Yes	No	Yes	Yes	Yes
SRR16988791	yHMPu5000037223_hyphopichia_buzzinii_210210	37223	Serinales	Hyphopichia buzzinii	NA	NA	NA	NA	NA	NA	Yes	Yes	Yes	Yes	Yes	Yes	NA	NA	Yes	Yes	Yes	Yes	Yes	Yes	NA	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	NA	No	NA	Yes	NA	berry of Clidemia sp.	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	No	No	No
SRR16988662	yHMPu5000035317_candida_fennica_180604	35317	Serinales	Hyphopichia fennica	Standard	Standard	0.131203677513829	0.377519201828673	0.332107416327882	0.766836752422925	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	No	Yes	anus of cat	Yes	Yes	No	No	No	No	Yes	No	No	No	No
SRR16989018	yHMPu5000038375_candida_khmerensis_170713	38375	Serinales	Hyphopichia khmerensis	Standard	Standard	0.54423834010453	0.511002460816262	0.464648902719846	1.18218697235289	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	NA	Yes	No	Yes	No	No	Yes	Yes	Yes	Yes	Yes	No	No	No	Yes	Yes	No	No	No	Yes	dry salted shrimp	Yes	Yes	No	No	No	No	No	No	No	No	No
SRR16989220	yHMPu5000038061_hyphopichia_pseudoburtonii_170912	38061	Serinales	Hyphopichia pseudoburtonii	Standard	Standard	0.197616855888393	0.32905383069089	0.204630585189762	0.370795298159663	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	No	Yes	Yes	rumen contents	Yes	Yes	No	No	No	No	Yes	No	No	No	No
SRR16988919	yHMPu5000035680_candida_pseudorhagii_160519	35680	Serinales	Hyphopichia pseudorhagii	Standard	Standard	0.403020264641942	0.433429612761768	0.284285125357414	0.272099498764727	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	insect frass in a shortleaf pine (P. echinata)	Yes	Yes	No	No	No	No	Yes	No	Yes	Yes	Yes
SRR16989219	yHMPu5000038062_candida_wangnamkhiaoensis_170912	38062	Serinales	Hyphopichia wangnamkhiaoensis	Generalist	Standard	0.298698058633151	0.313011328908076	0.209690234792582	0.453314535669817	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NA	Yes	NA	Yes	Yes	No	Yes	flower of C. floribunda Lame in Wang Nam Khiao district, Nakhon Ratchasima province, Thailand	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	No	No	No
SRR16974701	yHAB165_kazachstania_aquatica_160519	yHAB165	Saccharomycetales	Kazachstania aquatica	Specialist	Standard	0.936711653742112	0.439950220959511	0	0	Yes	Yes	Yes	No	Yes	No	Yes	NA	No	Yes	Yes	No	Yes	No	NA	Yes	No	No	No	No	No	No	NA	NA	NA	No	NA	No	No	wastewater collected in a paper mill	Yes	Yes	No	No	No	No	No	No	No	No	No
SRR16974724	yHAB162_Kazachstania_barnettii_SPADES	yHAB162	Saccharomycetales	Kazachstania barnettii	Standard	Specialist	0.782224172268988	0.200156437455673	0	0	Yes	Yes	No	No	No	No	No	No	No	Yes	Yes	No	Yes	No	Yes	Yes	Yes	No	No	No	No	No	No	No	No	No	No	No	No	sea water	Yes	Yes	No	No	No	No	No	No	No	No	No
SRR16974534	yHAB127_kazachstania_bovina_160519.haplomerger2	yHAB127	Saccharomycetales	Kazachstania bovina	NA	NA	NA	NA	NA	NA	Yes	Yes	No	No	No	No	No	Yes	No	NA	NA	No	No	No	No	Yes	No	No	No	No	Yes	No	No	Yes	Yes	No	Yes	No	No	nasal passage of a pigeon	Yes	Yes	No	No	No	No	Yes	No	No	No	No
SRR16974308	yHAB157_kazachstania_bulderi_160519.haplomerger2	yHAB157	Saccharomycetales	Kazachstania bulderi	Standard	Standard	0.377862053451305	0.121223751757858	0	0	Yes	Yes	No	No	No	No	No	Yes	No	No	Yes	No	Yes	No	Yes	Yes	Yes	No	No	No	No	No	No	No	No	No	No	No	No	anaerobic maize silage	Yes	Yes	No	No	No	No	No	No	No	No	No
SRR16974633	yHAB150_kazachstania_exigua_160519	yHAB150	Saccharomycetales	Kazachstania exigua	Standard	Specialist	0.57793881237636	0.295453239716532	0	0	Yes	Yes	No	No	No	No	No	NA	No	Yes	Yes	No	Yes	No	No	Yes	Yes	No	No	No	No	No	No	No	No	No	NA	No	No	unknown substrate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR16974532	yHAB142_kazachstania_gamospora_170307.haplomerger2	yHAB142	Saccharomycetales	Kazachstania gamospora	Standard	Standard	0	0.179613817835214	0.0762955951806906	0	Yes	Yes	No	Yes	No	No	Yes	Yes	No	Yes	Yes	No	Yes	No	Yes	No	Yes	No	No	No	No	No	NA	No	No	No	NA	No	No	rhizosphere soil	Yes	Yes	No	No	No	No	No	No	No	No	No
SRR16974251	yHAB145_kazachstania_hellenica_160519.haplomerger2	yHAB145	Saccharomycetales	Kazachstania hellenica	Specialist	Specialist	0.0645565169336627	0	0	0.0401841808157011	Yes	Yes	No	No	No	Yes	Yes	Yes	No	No	Yes	No	Yes	Yes	NA	Yes	Yes	Yes	No	Yes	No	No	NA	No	Yes	No	No	Yes	No	Botrytis-affected fermenting grape juice	No	No	No	No	No	No	No	No	No	No	No
SRR16974533	yHAB128_kazachstania_heterogenica_170307	yHAB128	Saccharomycetales	Kazachstania heterogenica	NA	NA	NA	NA	NA	NA	Yes	Yes	No	No	No	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	Yes	No	No	droppings of rodent	Yes	Yes	No	No	No	No	Yes	No	No	No	No
SRR16974276	yHMPu5000034721_candida_milleri_190924.haplomerger2	34721	Saccharomycetales	Kazachstania humilis	Standard	Standard	0.832837652707025	0.373596315078043	0	0	Yes	Yes	No	No	No	No	No	Yes	No	No	Yes	No	Yes	No	Yes	Yes	Yes	No	No	No	No	No	No	No	No	No	No	No	No	sour dough	Yes	Yes	No	No	No	No	No	No	No	No	No
SRR16974584	yHAB152_candida_humilis_160519.haplomerger2	yHAB152	Saccharomycetales	Kazachstania humilis	Standard	Specialist	NA	NA	NA	NA	Yes	Yes	No	Yes	No	No	No	Yes	No	Yes	Yes	No	Yes	No	Yes	Yes	No	No	No	No	No	No	No	No	No	No	Yes	No	No	Bantu beer	Yes	Yes	No	No	No	No	No	No	No	No	No
SRR16974461	yHDO566_kazachstania_ichnusensis_180604	yHDO566	Saccharomycetales	Kazachstania ichnusensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	rhizosphere of lentisk	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	No	No	No
SRR16988805	yHMPu5000037210_Kazachstania_jinghongensis_SPADES	37210	Saccharomycetales	Kazachstania jinghongensis	NA	NA	NA	NA	NA	NA	Yes	Yes	No	Yes	No	No	No	NA	No	No	Yes	No	Yes	No	Yes	Yes	No	No	No	No	No	No	No	No	No	No	Yes	No	No	rotting wood	Yes	Yes	Yes	Yes	Yes	Yes	No	No	No	No	No
SRR16974381	yHAB138_kazachstania_lodderae_160519	yHAB138	Saccharomycetales	Kazachstania lodderae	Standard	Standard	0.835835846751823	0.246094486021624	0.212430287149851	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	rotting Opuntia stricta (prickly-pear cactus)	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	No	No	No
SRR16974347	yHAB156_kazachstania_piceae_160519	yHAB156	Saccharomycetales	Kazachstania piceae	NA	NA	NA	NA	NA	NA	Yes	Yes	No	Yes	No	No	No	No	No	Yes	Yes	Yes	No	No	Yes	Yes	No	No	No	No	No	No	No	No	No	No	No	No	No	particles rhizosphere of Picea abies (spruce)	Yes	Yes	Yes	Yes	Yes	Yes	No	No	No	No	No
SRR16974370	yHAB129_kazachstania_pintolopesii_170307.haplomerger2	yHAB129	Saccharomycetales	Kazachstania pintolopesii	NA	NA	NA	NA	NA	NA	Yes	Yes	No	No	No	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	Yes	No	No	peritoneal fluid of dead guinea pig	Yes	Yes	No	No	No	No	Yes	No	No	No	No
SRR16974278	yHMPu5000034719_candida_pseudohumilis_180604.haplomerger2	34719	Saccharomycetales	Kazachstania pseudohumilis	Standard	Standard	0.411028642360989	0.386297408715038	0	0	Yes	Yes	No	No	No	No	No	No	No	No	Yes	No	Yes	No	NA	Yes	Yes	No	No	No	No	No	NA	NA	NA	No	NA	No	No	mouth of a Titetan male	Yes	Yes	No	No	No	No	Yes	No	No	No	No
SRR16974287	yHMPu5000034706_Kazachstania_psychrophila_SPADES	34706	Saccharomycetales	Kazachstania psychrophila	NA	NA	NA	NA	NA	NA	No	Yes	NA	Yes	NA	No	NA	No	No	No	Yes	Yes	Yes	No	NA	Yes	Yes	No	No	No	No	No	NA	Yes	NA	No	No	No	No	refrigerated vacuum-packed beef	Yes	Yes	No	No	No	No	No	No	No	No	No
SRR16988789	yHMPu5000037225_kazachstania_saulgeensis_210210	37225	Saccharomycetales	Kazachstania saulgeensis	NA	NA	NA	NA	NA	NA	Yes	Yes	Yes	No	Yes	No	No	Yes	No	NA	Yes	NA	Yes	No	NA	Yes	Yes	No	NA	No	NA	NA	NA	No	NA	No	No	No	No	French sourdough	Yes	Yes	No	No	No	No	No	No	No	No	No
SRR16974622	yHAB151_kazachstania_servazzi_160519	yHAB151	Saccharomycetales	Kazachstania servazzii	Specialist	Specialist	0.935129464040207	0.223681913633042	0	0	Yes	Yes	No	Yes	No	No	No	NA	No	Yes	Yes	No	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	No	NA	No	No	soil	Yes	Yes	No	No	No	No	No	No	No	No	No
SRR16974264	yHAB161_kazachstania_sinensis_160519	yHAB161	Saccharomycetales	Kazachstania sinensis	NA	NA	NA	NA	NA	NA	Yes	Yes	Yes	No	Yes	No	No	Yes	No	Yes	Yes	No	Yes	No	Yes	Yes	Yes	No	No	No	No	No	No	Yes	No	No	Yes	No	No	dead bird	Yes	Yes	No	No	No	No	Yes	No	No	No	No
SRR16974702	yHAB130_kazachstania_slooffiae_160519.haplomerger2	yHAB130	Saccharomycetales	Kazachstania slooffiae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cecum of a horse	Yes	Yes	No	No	No	No	Yes	No	No	No	No
SRR16974406	yHDO576_kazachstania_sp_180604	yHDO576	Saccharomycetales	Kazachstania sp.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	rotting wood	Yes	Yes	Yes	Yes	Yes	Yes	No	No	No	No	No
SRR16974395	yHAB131_kazachstania_telluris_170307	yHAB131	Saccharomycetales	Kazachstania telluris	NA	NA	NA	NA	NA	NA	Yes	Yes	No	No	No	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	Yes	No	No	soil	Yes	Yes	No	No	No	No	No	No	No	No	No
SRR16988847	yHMPu5000040961_kazachstania_turicensis_201018	40961	Saccharomycetales	Kazachstania turicensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	kefyr grains	Yes	Yes	No	No	No	No	No	No	No	No	No
SRR16974285	yHMPu5000034708_kazachstania_yasuniensis_180604	34708	Saccharomycetales	Kazachstania yasuniensis	Specialist	Standard	0.416696722935188	0.427532503133838	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	rotten wood	Yes	Yes	Yes	Yes	Yes	Yes	No	No	No	No	No
SRR16974282	yHMPu5000034711_kluyveromyces_lactis_var_drosophilarum_160519	34711	Saccharomycetales	Kluyveromyces lactis var. drosophilarum	Generalist	Standard	0.435800658361226	0.257517953436269	0.179649348204919	0.175637508404542	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Drosophila azteca (fruit fly)	Yes	Yes	No	No	No	No	Yes	No	Yes	Yes	Yes
SRR16974281	yHMPu5000034712_kluyveromyces_lactis_var_lactis_160519	34712	Saccharomycetales	Kluyveromyces lactis var. lactis	Standard	Standard	0.822452678059293	0.341998828825504	0.515119829775624	0.482152522701935	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	No	No	Yes	No	Yes	Yes	Yes	Yes	Yes	gassy cheese	Yes	Yes	No	No	No	No	No	No	No	No	No
SRR16974280	yHMPu5000034713_kluyveromyces_marxianus_160519.haplomerger2	34713	Saccharomycetales	Kluyveromyces marxianus	Standard	Standard	0.236251048971148	0	0	0	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NA	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	No	Yes	No	NA	No	No	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR16974288	yHMPu5000034701_kluyveromyces_nonfermentans_170307	34701	Saccharomycetales	Kluyveromyces nonfermentans	Specialist	Standard	0	0	0	0	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	No	No	No	No	No	Yes	No	Yes	Yes	No	Yes	No	No	No	Yes	No	Yes	No	No	sediment	Yes	Yes	No	No	No	No	No	No	No	No	No
SRR16974289	yHMPu5000034700_kluyveromyces_siamensis_180604	34700	Saccharomycetales	Kluyveromyces siamensis	Standard	Standard	0.346205662708863	0.394066795806265	0	0	Yes	Yes	Yes	Yes	Yes	NA	Yes	Yes	NA	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	No	NA	No	NA	Yes	Yes	No	No	water Mangrove Forest	Yes	Yes	No	No	No	No	No	No	No	No	No
SRR16974394	yHMH660_Kluyveromyces_sp_nov_plate33_SPADES	yHMH660	Saccharomycetales	Kluyveromyces sp.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Bark of Black Cherry (Prunus serotina)	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	No	No	No
SRR16974428	yHDO570_kluyveromyces_starmeri_180604	yHDO570	Saccharomycetales	Kluyveromyces starmeri	Standard	Standard	0.500030453178269	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	rotting cactus tissue of C. saddianus	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	No	No	No
SRR16974290	yHMPu5000034699_kluyveromyces_wickerhamii_170307	34699	Saccharomycetales	Kluyveromyces wickerhamii	Standard	Standard	0.582940276947937	0.683175988205342	0.313680756842613	0	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	No	Yes	No	Yes	Yes	Yes	Yes	No	No	No	Yes	No	Yes	Yes	Yes	No	No	gut of Drosophila sp. (fruit fly)	Yes	Yes	No	No	No	No	Yes	No	Yes	Yes	Yes
SRR16988966	yHMPu5000038400_candida_alishanica_190924	38400	Serinales	Kodamaea alishanica	Standard	Standard	0.153085984591056	0.402812826639781	0.133626973811682	0.213549493709993	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	No	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	No	No	No	No	No	No	No	Yes	Yes	soil	Yes	Yes	No	No	No	No	No	No	No	No	No
SRR16974352	yHMPu5000034664_kodamaea_anthophila_190924	34664	Serinales	Kodamaea anthophila	Generalist	Standard	0.694953573434849	0.821615111269485	0.0639496961796375	0.632470131305031	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	No	Yes	flower of Ipomoea sp.	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	No	No	No
SRR16988684	yHMPu5000035315_candida_arcana_180604	35315	Serinales	Kodamaea arcana	NA	NA	NA	NA	NA	NA	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	No	Yes	No	Yes	Yes	Yes	Yes	No	Yes	Yes	No	No	No	No	Derodontus esotericus (Derodontidae)	Yes	Yes	No	No	No	No	Yes	No	Yes	Yes	Yes
SRR16974364	yHMPu5000034652_candida_derodonti_SPADES	34652	Serinales	Kodamaea derodonti	NA	NA	NA	NA	NA	NA	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	No	No	Yes	No	No	No	Yes	Derodontus esotericus (Derodontidae) ex Hericium sp.	Yes	Yes	No	No	No	No	Yes	No	Yes	Yes	Yes
SRR16988682	yHMPu5000037908_candida_fukazawae_180604	37908	Serinales	Kodamaea fukazawae	Standard	Standard	0	0.498255878992638	0	0.720268690119533	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	fruiting body of an unidentified mushroom	Yes	Yes	No	No	No	No	No	No	No	No	No
SRR16988683	yHMPu5000037907_candida_fungicola_180604	37907	Serinales	Kodamaea fungicola	Standard	Standard	0	0	0.254243736067527	0.368420897140654	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	fruiting body of an unidentified mushroom	Yes	Yes	No	No	No	No	No	No	No	No	No
SRR16988901	yHMPu5000040930_candida_hsintzibuensis_201018	40930	Serinales	Kodamaea hsintzibuensis	Standard	Standard	0	0.592300277292819	0.164200759305543	0.518719203378119	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	No	No	Yes	Yes	Yes	Yes	Yes	Yes	No	No	Yes	No	No	Yes	Yes	soil	Yes	Yes	No	No	No	No	No	No	No	No	No
SRR16988783	yHMPu5000037230_kodamaea_jinghongensis_210210	37230	Serinales	Kodamaea jinghongensis	NA	NA	NA	NA	NA	NA	Yes	Yes	Yes	Yes	No	Yes	No	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	No	Yes	No	Yes	No	Yes	rotting wood	Yes	Yes	Yes	Yes	Yes	Yes	No	No	No	No	No
