sample_name	assembly_fullid_updated	yhmpu50000	order	species	carbon_class	nitrogen_class	galactose_normalized	fructose_normalized	glycerol_normalized	maltose_normalized	at_25_c	c1_d.glucose	n4_l.lysine	c23_glycerol	n5_cadaverine	c28_d.glucitol	n3_ethylamine	at_30_c	c29_d.mannitol	ethanol__assimilation	d.glucose__fermentation	c39_succinate	c12_a_a.trehalose	c6_d.xylose	c32_d.glucono.1_5.lactone	c2_d.galactose	c10_sucrose	c14_cellobiose	c15_salicin	c11_maltose	c25_ribitol	c40_citrate	c26_xylitol	c35_d.gluconate	c16_arbutin	c3_l.sorbose	at_35_c	c20_melezitose	c13_me_a.d.glucoside	environment_edited	super_domain_entity	super_independent_entity	super_plant	super_embryophyta_plant_type	super_vascular_plant_type	super_seed_producing_plant_type	super_animal	super_angiosperm_plant_type	super_arthropoda_animal_type	super_hexapoda_animal_type	super_insecta_animal_type
SRR16988694	yHMPu5000037897_Candida_kazuoi_SPADES	37897	Dipodascales	Candida kazuoi	Specialist	Standard	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Insect frass	Yes	Yes	No	No	No	No	Yes	No	Yes	Yes	Yes
SRR16989176	yHMPu5000038108_Candida_khao-thaluensis_SPADES	38108	Serinales	Candida khao-thaluensis	Standard	Standard	0.883255135377075	0.61923758340162	0	0.419504808433558	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	tree	Yes	Yes	Yes	Yes	Yes	Yes	No	No	No	No	No
SRR16988911	yHMPu5000040919_candida_konsanensis_201018	40919	Serinales	Candida konsanensis	Standard	Standard	0	0.437266939968715	0	0.409996061715709	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	NA	No	Yes	Yes	Yes	No	Yes	NA	Yes	Yes	Yes	Yes	J. adenophyllum	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	No	No	No
SRR16988692	yHMPu5000037899_candida_koratica_180604	37899	Serinales	Candida koratica	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR16989043	yHMPu5000041851_candida_krabiensis_160928	41851	Pichiales	Candida krabiensis	Standard	Standard	0	1.03719268804341	0.61140127590618	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	soil	Yes	Yes	No	No	No	No	No	No	No	No	No
SRR16989017	yHMPu5000038377_candida_kutaonensis_170713	38377	Serinales	Candida kutaoensis	Standard	Standard	0	0.486607066378833	0	1.0271427399846	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NA	Yes	Yes	No	No	Yes	Yes	NA	No	Yes	Yes	Yes	Yes	Yes	Yes	NA	NA	NA	Yes	Yes	Yes	No	Frass of a C. pseudocerasus	Yes	Yes	No	No	No	No	Yes	No	Yes	Yes	Yes
SRR16988691	yHMPu5000037900_candida_labiduridarum_190924	37900	Serinales	Candida labiduridarum	Standard	Standard	0.350504925669653	0.346192824185931	0	0.357608047906887	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gut of an earwig (Dermaptera: Labiduridae)	Yes	Yes	No	No	No	No	Yes	No	Yes	Yes	Yes
SRR16988908	yHMPu5000040921_candida_lessepsii_201018	40921	Serinales	Candida lessepsii	Standard	Standard	0.606798267647847	0.543746256899612	0.301968235869609	0.521619659490495	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	gut of unidentified beetle	Yes	Yes	No	No	No	No	Yes	No	Yes	Yes	Yes
SRR16988907	yHMPu5000040922_candida_lundiana_201018	40922	Dipodascales	Candida lundiana	Standard	Specialist	0	0.364671040114922	0.378835455276386	0.951653711770919	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	NA	Yes	Yes	Yes	Yes	raw honey, Homotrigona fimbriata	Yes	Yes	No	No	No	No	Yes	No	Yes	Yes	Yes
SRR16989044	yHMPu5000041850_candida_lyxosophila_170307.haplomerger2	41850	Serinales	Candida lyxosophila	Standard	Standard	0.826032108505349	0.475661083351546	0	0.704398101792762	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	No	Yes	No	Yes	Yes	Yes	surface soil of woodland	Yes	Yes	No	No	No	No	No	No	No	No	No
