sample_name	assembly	species	X_FC_resistance	Fluconazole_resistance	Itraconazole_resistance	Voriconazole_resistance	Posaconazole_resistance	Terbinafin_resistance	Caspofungi_resistance	Amphotericin_B_resistance	Total Drug Res	Order	Dipodascales_Fluconazole_resistance	Phaffomycetales_Fluconazole_resistance	Pichiales_Fluconazole_resistance	Saccharomycetales_Fluconazole_resistance	Serinales_Fluconazole_resistance
SRR16974701	yHAB165_kazachstania_aquatica_160519	Kazachstania_aquatica_CBS10102	NR	NR	NR	NR	NR	R	NR	NR	1	Saccharomycetales	NA	NA	NA	Saccharomycetales_NR	NA
SRR16974534	yHAB127_kazachstania_bovina_160519.haplomerger2	Kazachstania_bovina_CBS9732	NR	NR	NR	NR	NR	NR	NR	NR	0	Saccharomycetales	NA	NA	NA	Saccharomycetales_NR	NA
SRR16974308	yHAB157_kazachstania_bulderi_160519.haplomerger2	Kazachstania_bulderi_CBS8638	NR	R	R	R	R	R	NR	NR	5	Saccharomycetales	NA	NA	NA	Saccharomycetales_R	NA
SRR16974633	yHAB150_kazachstania_exigua_160519	Kazachstania_exigua_CBS379	NR	NR	NR	NR	NR	NR	NR	NR	0	Saccharomycetales	NA	NA	NA	Saccharomycetales_NR	NA
SRR16974532	yHAB142_kazachstania_gamospora_170307.haplomerger2	Kazachstania_gamospora_CBS10328	NR	R	NR	NR	NR	NR	NR	NR	1	Saccharomycetales	NA	NA	NA	Saccharomycetales_R	NA
SRR16974276	yHMPu5000034721_candida_milleri_190924.haplomerger2	Kazachstania_humilis_CBS6897	R	R	NR	R	NR	NR	R	R	5	Saccharomycetales	NA	NA	NA	Saccharomycetales_R	NA
SRR16974584	yHAB152_candida_humilis_160519.haplomerger2	Kazachstania_humilis_CBS5658	NR	R	NR	NR	NR	NR	NR	R	2	Saccharomycetales	NA	NA	NA	Saccharomycetales_R	NA
SRR16974347	yHAB156_kazachstania_piceae_160519	Kazachstania_piceae_CBS7738	NR	R	R	NR	NR	NR	NR	NR	2	Saccharomycetales	NA	NA	NA	Saccharomycetales_R	NA
SRR16974622	yHAB151_kazachstania_servazzi_160519	Kazachstania_servazzii_CBS4311	NR	R	R	R	R	R	NR	NR	5	Saccharomycetales	NA	NA	NA	Saccharomycetales_R	NA
SRR16974264	yHAB161_kazachstania_sinensis_160519	Kazachstania_sinensis_CBS7660	NR	R	R	R	NR	R	NR	NR	4	Saccharomycetales	NA	NA	NA	Saccharomycetales_R	NA
