sample_name	ampicillin_RIS	ciprofloxacin_RIS	clindamycin_RIS	daptomycin_RIS	doxycycline_RIS	erythromycin_RIS	gentamicin_RIS	kanamycin_RIS	linezolid_RIS	quinupristin_dalfopristin_RIS	streptomycin_RIS	teicoplanin_RIS	tetracycline_RIS	tigecycline_RIS	vancomycin_RIS
ERR369939	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR369940	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR369941	I/R	NA	S	NA	NA	I/R	S	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR369944	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	S	S	I/R
ERR369945	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR369946	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	S	S	I/R
ERR369951	I/R	NA	S	NA	NA	I/R	S	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR369954	I/R	NA	S	NA	NA	I/R	S	I/R	S	S	I/R	I/R	S	S	I/R
ERR369955	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR369956	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR369957	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR369958	I/R	NA	S	NA	NA	I/R	S	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR369962	I/R	NA	S	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	S	S	I/R
ERR369964	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR369965	I/R	NA	I/R	NA	NA	I/R	S	I/R	S	S	I/R	I/R	S	S	I/R
ERR369966	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR369967	I/R	NA	I/R	NA	NA	I/R	S	I/R	S	S	I/R	I/R	S	S	I/R
ERR369969	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	S	S	I/R	S	I/R
ERR369971	I/R	NA	S	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	S	S	I/R
ERR369972	I/R	NA	I/R	NA	NA	I/R	S	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR369974	I/R	NA	I/R	NA	NA	I/R	S	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR369976	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR369978	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR369980	I/R	NA	S	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	S	S	I/R
ERR369981	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	S	S	I/R
ERR369982	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	S	S	I/R
ERR369983	I/R	NA	S	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	S	S	I/R
ERR369985	I/R	NA	S	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	S	S	I/R
ERR369988	I/R	NA	S	NA	NA	I/R	I/R	I/R	S	S	S	I/R	I/R	S	I/R
ERR369990	I/R	NA	S	NA	NA	I/R	S	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR369991	I/R	NA	S	NA	NA	I/R	I/R	S	S	S	S	I/R	I/R	S	I/R
ERR369992	I/R	NA	I/R	NA	NA	I/R	S	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR369993	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR369995	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	S	S	I/R
ERR369996	I/R	NA	S	NA	NA	I/R	I/R	S	S	S	S	I/R	I/R	S	I/R
ERR369998	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR369999	I/R	NA	I/R	NA	NA	I/R	S	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR370000	I/R	NA	I/R	NA	NA	I/R	S	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR370001	I/R	NA	S	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	S	S	I/R
ERR370003	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR370004	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	S	S	I/R
ERR370005	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR370007	I/R	NA	S	NA	NA	I/R	S	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR370008	I/R	NA	S	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	S	S	I/R
ERR370011	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR370012	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR370013	I/R	NA	S	NA	NA	I/R	S	I/R	S	S	I/R	I/R	S	S	I/R
ERR370015	I/R	NA	S	NA	NA	I/R	S	I/R	S	S	I/R	S	I/R	S	I/R
ERR370018	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	S	S	I/R
ERR370019	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR370020	I/R	NA	I/R	NA	NA	I/R	S	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR370021	I/R	NA	S	NA	NA	I/R	S	I/R	S	S	I/R	S	I/R	S	I/R
ERR370022	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR370023	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR370024	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR370025	I/R	NA	S	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	S	S	I/R
ERR370029	I/R	NA	S	NA	NA	I/R	I/R	I/R	S	S	S	I/R	I/R	S	I/R
ERR370030	I/R	NA	S	NA	NA	I/R	I/R	I/R	S	S	S	S	I/R	S	S
ERR370031	I/R	NA	S	NA	NA	I/R	I/R	I/R	S	S	I/R	S	S	S	I/R
ERR370032	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR370033	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	S	S	I/R
ERR375290	I/R	NA	S	NA	NA	I/R	S	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR375299	I/R	NA	S	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	S	S	I/R
ERR375300	I/R	NA	I/R	NA	NA	I/R	S	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR375302	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR375304	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR375305	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR375308	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR375311	I/R	NA	S	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	S	S	I/R
ERR375312	I/R	NA	S	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	S	S	I/R
ERR375313	I/R	NA	S	NA	NA	I/R	S	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR375314	I/R	NA	S	NA	NA	I/R	S	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR375315	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR375316	I/R	NA	I/R	NA	NA	I/R	S	I/R	S	S	S	I/R	S	S	I/R
ERR375317	I/R	NA	I/R	NA	NA	I/R	S	I/R	S	S	S	I/R	S	S	I/R
ERR375318	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	S	I/R	I/R	S	I/R
ERR375319	I/R	NA	S	NA	NA	I/R	S	I/R	S	S	I/R	I/R	S	S	I/R
ERR375320	I/R	NA	I/R	NA	NA	I/R	S	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR375321	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	I/R	S	I/R	S	I/R
ERR375322	I/R	NA	S	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	S	S	I/R
ERR375323	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR375326	I/R	NA	S	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	S	S	I/R
ERR375327	I/R	NA	I/R	NA	NA	I/R	S	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR375328	I/R	NA	S	NA	NA	I/R	S	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR375329	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR375330	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR375332	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR375333	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR375334	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	I/R	I/R	I/R
ERR375335	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR375337	I/R	NA	S	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	S	S	I/R
ERR375339	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR375340	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR375341	I/R	NA	S	NA	NA	I/R	I/R	I/R	S	S	S	I/R	I/R	S	I/R
ERR375343	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR375345	I/R	NA	S	NA	NA	I/R	S	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR375347	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR375348	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR375349	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	S	S	I/R
ERR375350	I/R	NA	I/R	NA	NA	I/R	S	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR375351	I/R	NA	S	NA	NA	I/R	S	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR375353	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR375354	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	I/R	S	S	S	I/R
ERR375355	I/R	NA	S	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	S	S	I/R
ERR375356	I/R	NA	I/R	NA	NA	I/R	S	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR375357	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR375360	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	S	S	I/R	S	I/R
ERR375361	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR375363	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR375366	I/R	NA	S	NA	NA	S	S	S	S	S	S	I/R	S	S	I/R
ERR375367	I/R	NA	S	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	S	S	I/R
ERR375370	I/R	NA	I/R	NA	NA	I/R	S	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR375371	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR375373	I/R	NA	S	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR375375	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	S	S	I/R
ERR375376	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR375377	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR375379	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	I/R	I/R	I/R	I/R	S	I/R
ERR375380	I/R	NA	S	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	S	S	I/R
ERR375381	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR375382	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR375385	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR375386	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR375389	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR375390	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	S	S	I/R
ERR375391	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR375393	I/R	NA	S	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	S	S	I/R
ERR375394	I/R	NA	I/R	NA	NA	I/R	S	I/R	S	S	I/R	I/R	S	S	I/R
ERR375395	I/R	NA	S	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	S	S	I/R
ERR375396	I/R	NA	I/R	NA	NA	I/R	S	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR375397	I/R	NA	S	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	S	S	I/R
ERR375398	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	S	S	I/R
ERR375399	I/R	NA	I/R	NA	NA	I/R	S	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR375400	I/R	NA	I/R	NA	NA	I/R	S	I/R	S	I/R	I/R	I/R	S	S	I/R
ERR375401	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR375402	I/R	NA	S	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR375403	I/R	NA	S	NA	NA	I/R	S	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR375406	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	S	I/R	I/R	S	I/R
ERR375409	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR375412	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR375413	I/R	NA	I/R	NA	NA	I/R	S	I/R	S	S	I/R	I/R	S	S	I/R
ERR375418	I/R	NA	S	NA	NA	I/R	S	S	S	S	S	I/R	I/R	S	I/R
ERR375420	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	S	S	I/R
ERR375421	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR375422	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR375423	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	S	S	I/R
ERR375425	I/R	NA	S	NA	NA	I/R	I/R	I/R	S	S	S	I/R	S	S	I/R
ERR375426	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	I/R	S	I/R	S	I/R
ERR375427	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR375430	I/R	NA	S	NA	NA	I/R	S	I/R	S	S	I/R	S	I/R	S	I/R
ERR375431	I/R	NA	S	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	S	S	I/R
ERR375432	I/R	NA	S	NA	NA	I/R	I/R	I/R	S	S	S	I/R	I/R	S	I/R
ERR375433	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR375434	I/R	NA	S	NA	NA	I/R	S	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR375436	I/R	NA	S	NA	NA	I/R	S	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR375437	I/R	NA	I/R	NA	NA	I/R	S	I/R	S	S	I/R	I/R	S	S	I/R
ERR375439	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	S	S	I/R
ERR375440	I/R	NA	I/R	NA	NA	I/R	S	S	S	S	I/R	I/R	I/R	S	I/R
ERR375441	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	S	S	I/R
ERR375443	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR375445	I/R	NA	S	NA	NA	I/R	I/R	I/R	S	S	S	I/R	I/R	S	I/R
ERR375446	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR375447	I/R	NA	S	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR375448	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR375450	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	I/R	I/R	I/R	S	S	I/R
ERR375451	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR375452	I/R	NA	S	NA	NA	I/R	S	I/R	S	S	I/R	S	I/R	S	I/R
ERR375456	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR375457	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR375458	I/R	NA	S	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	S	S	I/R
ERR375462	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	S	S	I/R
ERR375466	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	I/R	I/R	I/R	S	S	I/R
ERR375467	I/R	NA	S	NA	NA	I/R	S	I/R	S	S	I/R	I/R	S	S	I/R
ERR375468	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR375470	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	S	S	I/R
ERR375471	I/R	NA	S	NA	NA	I/R	S	S	S	S	S	I/R	I/R	S	I/R
ERR375473	I/R	NA	S	NA	NA	I/R	S	S	S	S	S	I/R	I/R	S	I/R
ERR375474	I/R	NA	S	NA	NA	I/R	I/R	I/R	S	S	I/R	S	S	S	I/R
ERR375476	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	S	I/R	I/R	S	I/R
ERR375479	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR375480	I/R	NA	S	NA	NA	I/R	S	S	S	S	S	I/R	I/R	S	I/R
ERR375481	I/R	NA	I/R	NA	NA	I/R	S	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR375482	I/R	NA	S	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	S	S	I/R
ERR375483	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR375484	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR375485	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR375486	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR375487	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR375488	I/R	NA	I/R	NA	NA	I/R	S	I/R	S	S	S	I/R	S	S	I/R
ERR375491	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR375493	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	S	S	I/R
ERR375494	I/R	NA	S	NA	NA	I/R	S	S	S	S	S	I/R	I/R	S	I/R
ERR375495	I/R	NA	S	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	S	S	I/R
ERR375496	I/R	NA	S	NA	NA	I/R	S	I/R	S	S	I/R	I/R	S	S	I/R
ERR375497	I/R	NA	S	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR375498	I/R	NA	I/R	NA	NA	I/R	S	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR375499	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR375500	I/R	NA	S	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	S	S	I/R
ERR375502	I/R	NA	S	NA	NA	I/R	I/R	I/R	S	S	I/R	S	S	S	I/R
ERR375504	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR375506	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR375509	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR375512	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR375513	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR375514	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR375515	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR375516	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR375519	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR375522	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR375523	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	S	S	I/R
ERR375524	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR375529	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR375530	I/R	NA	S	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR375532	I/R	NA	S	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	S	S	I/R
ERR375534	I/R	NA	S	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	S	S	I/R
ERR375538	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR375539	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR375541	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR375542	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	S	I/R	I/R	S	I/R
ERR375544	I/R	NA	S	NA	NA	I/R	S	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR375548	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR375550	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR375551	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR375553	I/R	NA	S	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR375554	I/R	NA	S	NA	NA	S	S	S	I/R	S	S	I/R	I/R	S	I/R
ERR375555	I/R	NA	I/R	NA	NA	I/R	S	I/R	S	S	S	I/R	S	S	I/R
ERR375556	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR375557	I/R	NA	I/R	NA	NA	I/R	S	I/R	S	S	S	I/R	I/R	S	I/R
ERR377424	I/R	NA	S	NA	NA	I/R	S	I/R	S	S	I/R	I/R	S	S	I/R
ERR377425	I/R	NA	I/R	NA	NA	I/R	S	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR377426	I/R	NA	S	NA	NA	I/R	I/R	I/R	S	S	S	I/R	I/R	S	I/R
ERR377427	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR377429	I/R	NA	I/R	NA	NA	I/R	S	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR377430	I/R	NA	I/R	NA	NA	I/R	S	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR377433	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR377434	I/R	NA	S	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	S	S	I/R
ERR377436	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR377437	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR377439	I/R	NA	S	NA	NA	I/R	I/R	I/R	S	S	I/R	S	S	S	I/R
ERR377440	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR377442	I/R	NA	I/R	NA	NA	I/R	S	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR377443	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR377444	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR377445	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	S	I/R	I/R	S	I/R
ERR377446	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR377447	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	S	S	I/R
ERR377450	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR377451	I/R	NA	S	NA	NA	I/R	S	S	S	S	S	I/R	S	S	I/R
ERR377454	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR377455	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR377457	I/R	NA	S	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	S	S	I/R
ERR377458	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR377465	I/R	NA	S	NA	NA	I/R	I/R	I/R	S	S	S	I/R	I/R	S	I/R
ERR377468	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	S	I/R	I/R	S	I/R
ERR377469	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR377471	I/R	NA	I/R	NA	NA	I/R	S	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR377473	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	S	S	I/R
ERR377474	I/R	NA	S	NA	NA	I/R	I/R	I/R	S	S	S	I/R	I/R	S	I/R
ERR377477	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
